field1,field2,field3,field4
Polaris Rising,Jessie Mihalik,https://www.goodreads.com/book/show/35662096-polaris-rising,A space princess on the run and a notorious outlaw soldier become unlikely allies in this imaginative sexy space opera adventure—the first in an exciting science fiction trilogy.  In the far distant future the universe is officially ruled by the Royal Consortium but the High Councillors the heads of the three High Houses wield the true power. As the fifth of six children Ada von Hasenberg has no authority
The Dragon Never Sleeps,Glen Cook,https://www.goodreads.com/book/show/1808064.The_Dragon_Never_Sleeps,For four thousand years the Guardships have ruled Canon Space - immortal ships with an immortal crew dealing swiftly and harshly with any mercantile houses or alien races that threaten the status quo. But now the House Tregesser has an edge: a force from outside Canon Space offers them the resources to throw off Guardship rule. This precipitates an avalanche of unexpected outcomes including the emergence of Kez Maefele one of the few remaining generals of the Ku Warrior race-the only race to ever seriously threaten Guardship hegemony. Kez Maefele and a motley group of aliens biological constructs an scheming aristocrats find themselves at the center of the conflict. Maefele must chose which side he will support: the Guardships who defeated and destroyed his race or the unknown forces outside Canon Space that promise more death and destruction.  Skyhorse Publishing under our Night Shade and Talos imprints is proud to publish a broad range of titles for readers interested in science fiction (space opera time travel hard SF alien invasion near-future dystopia) fantasy (grimdark sword and sorcery contemporary urban fantasy steampunk alternative history) and horror (zombies vampires and the occult and supernatural) and much more. While not every title we publish becomes a New York Times bestseller a national bestseller or a Hugo or Nebula award-winner we are committed to publishing quality books from a diverse group of authors.
Grimspace,Ann Aguirre,https://www.goodreads.com/book/show/1828067.Grimspace,As the carrier of a rare gene Sirantha Jax has the ability to jump ships through grimspace-a talent which makes her a highly prized navigator for the Corp. Then a crash landing kills everyone on board leaving Jax in a jail cell with no memory of the crash. But her fun's not over. A group of rogue fighters frees her...for a price: her help in overthrowing the established order.
De la Terre à la Lune,Jules Verne,https://www.goodreads.com/book/show/1452955.De_la_Terre_la_Lune,A la fin de la guerre fédérale des états-Unis les fanatiques artilleurs du Gun-Club (Club-Canon) de Baltimore sont bien désoeuvrés. Un beau jour le président Impey Barbicane leur fait une proposition qui le premier moment de stupeur passé est accueillie avec un enthousiasme délirant. Il s'agit de se mettre en communication avec la Lune en lui envoyant un boulet un énorme projectile qui serait lancé par un gigantesque canon ! Tandis que ce projet inouï est en voie d'exécution un Parisien Michel Ardan un de ces originaux que le Créateur invente dans un moment de fantaisie et dont il brise aussitôt le moule télégraphie à Barbicane : « Remplacez obus sphérique par projectile cylindroconique. Partirai dedans »... Avec ses personnages parfaitement campés son humour toujours présent De la Terre à la Lune est une des grandes oeuvres de Jules Verne une de ses plus audacieuses anticipations.
Change Agent,Daniel Suarez,https://www.goodreads.com/book/show/31396262-change-agent,"New York Times bestselling author Daniel Suarez delivers an exhilarating sci-fi thriller exploring a potential future where CRISPR genetic editing allows the human species to control evolution itself.  On a crowded train platform Interpol agent Kenneth Durand feels the sting of a needle— and his transformation begins. . . .    In 2045 Kenneth Durand leads Interpol’s most effective team against genetic crime hunting down black market labs that perform ""vanity edits"" on human embryos for a price. These illegal procedures augment embryos in ways that are rapidly accelerating human evolution—preying on human-trafficking victims to experiment and advance their technology.   With the worlds of genetic crime and human trafficking converging Durand and his fellow Interpol agents discover that one figure looms behind it all: Marcus Demang Wyckes leader of a powerful and sophisticated cartel known as the Huli jing.   But the Huli jing have identified Durand too. After being forcibly dosed with a radical new change agent Durand wakes from a coma weeks later to find he’s been genetically transformed into someone else—his most wanted suspect: Wyckes.   Now a fugitive pursued through the genetic underworld by his former colleagues and the police Durand is determined to restore his original DNA by locating the source of the mysterious—and highly valuable—change agent. But Durand hasn’t anticipated just how difficult locating his enemy will be. With the technology to genetically edit the living Wyckes and his Huli jing could be anyone and everyone—and they have plans to undermine identity itself."
The Drowned World,"J.G. Ballard, Martin Amis (Introduction)",https://www.goodreads.com/book/show/16234584-the-drowned-world,"First published in 1962 J.G. Ballard's mesmerizing and ferociously prescient novel imagines a terrifying future in which solar radiation and global warming have melted the polar ice caps and Triassic-era jungles have overrun a submerged and tropical London. Set during the year 2145 the novel follows biologist Dr. Robert Kerans and his team of scientists as they confront a surreal cityscape populated by giant iguanas albino alligators and endless swarms of malarial insects. Nature has swallowed all but a few remnants of human civilization and slowly Kerans and his companions are transformed—both physically and psychologically—by this prehistoric environment. Echoing Joseph Conrad's Heart of Darkness—complete with a mad white hunter and his hordes of native soldiers—this ""powerful and beautifully clear"" (Brian Aldiss) work becomes a thrilling adventure and a haunting examination of the effects of environmental collapse on the human mind."
A Wizard of Earthsea,Ursula K. Le Guin,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,Ged the greatest sorcerer in all Earthsea was called Sparrowhawk in his reckless youth.  Hungry for power and knowledge Sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tale of his testing how he mastered the mighty words of power tamed an ancient dragon and crossed death's threshold to restore the balance.
Pines,Blake Crouch,https://www.goodreads.com/book/show/15034320-pines,Secret service agent Ethan Burke arrives in Wayward Pines Idaho with a clear mission: locate and recover two federal agents who went missing in the bucolic town one month earlier. But within minutes of his arrival Ethan is involved in a violent accident. He comes to in a hospital with no ID no cell phone and no briefcase. The medical staff seems friendly enough but something feels…off. As the days pass Ethan’s investigation into the disappearance of his colleagues turns up more questions than answers. Why can’t he get any phone calls through to his wife and son in the outside world? Why doesn’t anyone believe he is who he says he is? And what is the purpose of the electrified fences surrounding the town? Are they meant to keep the residents in? Or something else out? Each step closer to the truth takes Ethan further from the world he thought he knew from the man he thought he was until he must face a horrifying fact—he may never get out of Wayward Pines alive.  2013 International Thriller Award Nominee  The international runaway bestseller is now a Major Television Event from executive producer M. Night Shyamalan starring Matt Dillon and premiering May 14th on FOX.
This Census-Taker,"China Miéville, Vincent Chong (Illustrations)",https://www.goodreads.com/book/show/29207221-this-census-taker,For readers of George Saunders Kelly Link and Karen Russell This Census Taker is the poignant and uncanny new novella from award-winning and bestselling author China Miéville. After witnessing a profoundly traumatic event a boy is left alone in a remote house on a hilltop with his increasingly deranged parent. When a stranger knocks on his door the boy senses that his days of isolation are over—but by what authority does this man keep the meticulous records he carries? Is he the boy’s friend? His enemy? Or something altogether other?
Annihilation,Jeff VanderMeer,https://www.goodreads.com/book/show/17934530-annihilation,Area X has been cut off from the rest of the world for decades. Nature has reclaimed the last vestiges of human civilization. The first expedition returned with reports of a pristine Edenic landscape
Count Zero,William Gibson,https://www.goodreads.com/book/show/22200.Count_Zero,A corporate mercenary wakes in a reconstructed body a beautiful woman by his side. Then Hosaka Corporation reactivates him for a mission more dangerous than the one he’s recovering from: to get a defecting chief of R&D—and the biochip he’s perfected—out intact. But this proves to be of supreme interest to certain other parties—some of whom aren’t remotely human...
